question_type,source,question,correct_answer,matched_textbook,top_passages
local,gpt-4o-mini,"A 58-year-old female presents to her primary care physician with complaints of chest pain and palpitations. A thorough past medical history reveals a diagnosis of rheumatic fever during childhood. Echocardiography is conducted and shows enlargement of the left atrium and narrowing of the mitral valve opening. Which of the following should the physician expect , to hear on cardiac auscultation?",Opening snap following the aortic component of the S2 heart sound,InternalMed_Harrison,"A short, mid-diastolic murmur is rarely heard during an episode of acute rheumatic fever (Carey-Coombs murmur) and probably is due to flow through an edematous mitral valve. An opening snap is not present in the acute phase, and the murmur dissipates with resolution of the acute attack. Complete hea | In the third scenario, a 46-year-old patient with hemoptysis who immigrated from a developing country has an echocardiogram as well, because the physician hears a soft diastolic rumbling murmur at the apex on cardiac auscultation, suggesting rheumatic mitral stenosis and possibly pulmonary hypertens | The history, clinical context, and associated physical examination findings provide additional clues by which the significance of a heart murmur can be established. Accurate bedside identification of a heart murmur can inform decisions regarding the indications for noninvasive testing and the need f"
local,gpt-4o-mini,"A 45-year-old man with asthma comes to the physician because of a 1-month history of progressively worsening shortness of breath and cough. He also has a history of chronic sinusitis and foot drop. Current medications include an albuterol inhaler and inhaled corticosteroid. Physical examination shows diffuse wheezing over both lung fields and tender subcutaneous nodules on both elbows. Laboratory studies show a leukocyte count of 23,000/mm3 with 26% eosinophils and a serum creatinine of 1.7 mg/dL. Urine microscopy shows red blood cell casts. Which of the following is the most likely diagnosis in this patient?",Eosinophilic granulomatosis with polyangiitis,InternalMed_Harrison,"Although the diagnosis of eosinophilic granulomatosis with polyangiitis (Churg-Strauss) is optimally made by biopsy in a patient with the characteristic clinical manifestations (see above), histologic confirmation can be challenging because the pathognomonic features often do not occur simultaneousl | There are no diagnostic serologic tests for polyarteritis nodosa. In >75% of patients, the leukocyte count is elevated with a predominance of neutrophils. Eosinophilia is seen only rarely and, when present at high levels, suggests the diagnosis of eosinophilic granulomatosis with polyangiitis (Churg | The characteristic laboratory finding in virtually all patients with eosinophilic granulomatosis with polyangiitis (Churg-Strauss) is a striking eosinophilia, which reaches levels >1000 cells/μL in >80% of patients. Evidence of inflammation as evidenced by elevated ESR, fibrinogen, or α2-globulins c"
global,gpt-4o-mini,A new drug is designed to treat asthma by inhibiting bronchoconstriction. Experimental assays show that treated animals had markedly reduced acetylcholine binding to muscarinic receptors relative to untreated controls. The drug is most similar to which of the following:,Ipratropium,InternalMed_Harrison,"Anticholinergics Muscarinic receptor antagonists such as ipratropium bromide prevent cholinergic nerve-induced bronchoconstriction and mucus secretion. They are less effective than β2-agonists in asthma therapy because they inhibit only the cholinergic reflex component of bronchoconstriction, wherea | The treatment of asthma is straightforward, and the majority of patients are now managed by internists and family doctors with effective and safe therapies. There are several aims of therapy (Table 309-2). Most emphasis has been placed on drug therapy, but several nonpharmacologic approaches have al | PHARMACOLOGIC AGENTS Several drugs may trigger asthma. Betaadrenergic blockers commonly acutely worsen asthma, and their use may be fatal. The mechanisms are not clear, but are likely mediated through increased cholinergic bronchoconstriction. All β blockers need to be avoided, and even selective β2"
local,gpt-4o-mini,A 28-year-old woman presents with a malodorous vaginal discharge and itchiness that have lasted for 15 days. She reports that the smell of the discharge is worse after intercourse and is accompanied by a whitish-gray fluid. She has no significant past medical or gynecological history. She is in a stable monogamous relationship and has never been pregnant. She is diagnosed with bacterial vaginosis and prescribed an antimicrobial agent. Which of the following diagnostic features is consistent with this patient’s condition?,"Vaginal fluid pH > 4.5, clue cells present on a saline smear of the vaginal secretions, along with a fishy odor on addition of KOH",InternalMed_Harrison,"Bacterial vaginosis is conventionally diagnosed clinically with the Amsel criteria, which include any three of the following four clinical abnormalities: (1) objective signs of increased white homogeneous vaginal discharge; (2) a vaginal discharge pH of >4.5; (3) liberation of a distinct fishy odor  | FIGURE 163-3 Wet mount of vaginal fluid showing typical clue cells from a woman with bacterial vaginosis. Note the obscured epithelial cell margins and the granular appearance attributable to many adherent bacteria (×400). (Photograph provided by Lorna K. Rabe, reprinted with permission from S Hilli | Sexually Transmitted Infections: Overview and Clinical Approach aColor of discharge is best determined by examination against the white background of a swab. bA pH determination is not useful if blood is present or if the test is performed on endocervical secretions. cTo detect fungal elements, vagi"
global,gpt-4o-mini,"During normal respiration in the lungs, oxygen is absorbed into the bloodstream and carbon dioxide is released. The oxygen is used in cells as the final electron acceptor during oxidative phosphorylation, and carbon dioxide is generated during each turn of the tricarboxylic citric acid cycle (TCA). Which of the following steps in the TCA cycle generates a molecule of carbon dioxide?",Isocitrate to alpha ketoglutarate,Biochemistry_Lippincott,"The tricarboxylic acid cycle ([TCA cycle] also called the citric acid cycle, or the Krebs cycle) plays several roles in metabolism. It is the final pathway where the oxidative catabolism of carbohydrates, amino acids, and fatty acids converge, their carbon skeletons being converted to carbon dioxide | Source of cytosolic acetyl coenzyme A: Pyruvate from aerobic glycolysis enters mitochondria and is decarboxylated by PDH. The acetyl CoA product is combined with oxaloacetate (OAA) to form citrate via citrate synthase of the TCA cycle. Citrate leaves the mitochondria (as a result of the inhibition o | Oxidation of acetyl coenzyme A: The tricarboxylic acid (TCA) cycle (see p. 109) is the final common pathway in the oxidation of fuel molecules that produce acetyl CoA. Oxidation of acetyl CoA generates large amounts of ATP via oxidative phosphorylation as electrons flow from NADH and flavin adenine"
local,gpt-4o-mini,"A 5-year-old boy presents with bilateral conjunctivitis and pharyngitis. The patient’s mother says that symptoms acutely onset 3 days ago and include itchy red eyes, a low-grade fever, and a sore throat. She says that the patient recently attended a camp where other kids were also ill and were completely healthy before going. No significant past medical history. Which of the following is the most likely cause of this patient’s symptoms?",Adenovirus,InternalMed_Harrison,"In children, adenoviruses cause a variety of clinical syndromes. The most common is an acute upper respiratory tract infection, with prominent rhinitis. On occasion, lower respiratory tract disease, including bronchiolitis and pneumonia, also develops. Adenoviruses, particularly types 3 and 7, cause | acUte HemorrHagic conjUnctivitis Patients with acute hemorrhagic conjunctivitis present with an acute onset of severe eye pain, blurred vision, photophobia, and watery discharge from the eye. Examination reveals edema, chemosis, and subconjunctival hemorrhage and often shows punctate keratitis and c | Together, respiratory viruses are the most common identifiable cause 231 of acute pharyngitis, with rhinoviruses and coronaviruses accounting for large proportions of cases (~20% and at least 5%, respectively). Influenza virus, parainfluenza virus, and adenovirus also account for a measurable share"
global,gpt-4o-mini,An investigator develops a new drug that decreases the number of voltage-gated potassium channels in cardiac muscle cell membranes. Which of the following is the most likely effect of this drug on the myocardial action potential?,Delayed repolarization,InternalMed_Harrison,"Blockade of fast sodium membrane channels prolongs phase 0 (depolarization) of the cardiac action potential, which prolongs QRS duration and promotes reentrant (monomorphic) ventricular tachycardia. Class Ia, Ic, and III antiarrhythmics also block potassium channels during phases 2 and 3 (repolariza | FIGURE 273e-1 A. Cellular atrial and ventricular action potentials. Phases 0–4 are the rapid upstroke, early repolarization, plateau, late repolarization, and diastole, respectively. The ionic currents and their respective genes are shown above and below the action potentials. The currents that unde | PART 10 Disorders of the Cardiovascular System 273e-2 proteins that passively conduct ions down their electrochemical gradients through selective pores (ion channels), actively transport ions against their electrochemical gradient (pumps, transporters), or electrogenically exchange ionic species (ex"
local,gpt-4o-mini,A 45-year-old male reports several years of asbestos exposure while working in the construction industry. He reports smoking 2 packs of cigarettes per day for over 20 years. Smoking and asbestos exposure increase the incidence of which of the following diseases?,Bronchogenic carcinoma,InternalMed_Harrison,"Lung cancer (Chap. 107) is the most common cancer associated with asbestos exposure. The excess frequency of lung cancer (all histologic types) in asbestos workers is associated with a minimum latency of 15–19 years between first exposure and development of the disease. Persons with more exposure ar | Mesotheliomas (Chap. 316), both pleural and peritoneal, are also associated with asbestos exposure. In contrast to lung cancers, these tumors do not appear to be associated with smoking. Relatively short-term asbestos exposures of ≤1–2 years, occurring up to 40 years in the past, have been associate | Although cigarette smoking is the cause of the majority of lung cancers, several other risk factors have been identified, including occupational exposures to asbestos, arsenic, bischloromethyl ether, hexavalent chromium, mustard gas, nickel (as in certain nickel-refining processes), and polycyclic a"
local,gpt-4o-mini,"A 16-year-old boy with history of seizure disorder is rushed to the Emergency Department with multiple generalized tonic-clonic seizures that have spanned more than 30 minutes in duration. He has not regained consciousness between these episodes. In addition to taking measures to ensure that he maintains adequate respiration, which of the following is appropriate for initial pharmacological therapy?",Lorazepam,InternalMed_Harrison,"(See also Chap. 445) Recurrent or relentless seizure activity is a medical emergency. Cessation of seizure activity is required to prevent irreversible neurologic injury. Lorazepam is the most effective benzodiazepine for treating status epilepticus and is the treatment of choice for controlling sei | Antiepileptic Drug Selection for generAlizeD SeizureS Lamotrigine and valproic acid are currently considered the best initial choice for the treatment of primary generalized, tonic-clonic seizures. Topiramate, zonisamide, phenytoin, carbamazepine, and oxcarbazepine are suitable alternatives. Valproi | Generalized withdrawal seizures rarely require more than giving an adequate dose of benzodiazepines. There is little evidence that anticonvulsants such as phenytoin or gabapentin are more effective in drug-withdrawal seizures, and the risk of seizures has usually passed by the time effective drug le"
local,gpt-4o-mini,"A 63-year-old woman comes to the physician because of worsening shortness of breath, cough, and a 4-kg (8.8-lb) weight loss over the last year. She has no history of serious illness and takes no medications. She has smoked one pack of cigarettes daily for 35 years. Her temperature is 37°C (98.6°F), pulse is 92/min, respirations are 20/min, blood pressure is 124/78 mm Hg, and pulse oximetry on room air shows an oxygen saturation of 93%. Physical examination shows decreased breath sounds. A flow-volume loop obtained via pulmonary function testing is shown. Which of the following is the most likely cause of this patient's respiratory symptoms?",Chronic obstructive pulmonary disease,Biochemistry_Lippincott,".1. A 30-year-old woman of Northern European ancestry presents with progressive dyspnea (shortness of breath). She denies the use of cigarettes. Family history reveals that her sister also has problems with her lungs. Which one of the following etiologies most likely explains this patient’s pulmonar | HISTORY Dyspnea and Cough The cardinal symptoms of respiratory disease are dyspnea and cough (Chaps. 47e and 48). Dyspnea has many causes, some of which are not predominantly due to lung pathology. The words a patient uses to describe shortness of breath can suggest certain etiologies for dyspnea. P | In the early stages of COPD, patients usually have an entirely normal physical examination. Current smokers may have signs of active smoking, including an odor of smoke or nicotine staining of fingernails. In patients with more severe disease, the physical examination is notable for a prolonged expi"
local,gpt-4o-mini,A previously healthy 35-year-old woman comes to the physician for a 3-week history of alternating constipation and diarrhea with blood in her stool. She has not had any fevers or weight loss. Her father died of gastric cancer at 50 years of age. Physical examination shows blue-gray macules on the lips and palms of both hands. Colonoscopy shows multiple polyps throughout the small bowel and colon with one ulcerated polyp at the level of the sigmoid colon. Multiple biopsy specimens are collected. These polyps are most likely to be characterized as which of the following histological subtypes?,Hamartomatous,InternalMed_Harrison,"Most colorectal cancers, regardless of etiology, arise from adenomatous polyps. A polyp is a grossly visible protrusion from the mucosal surface and may be classified pathologically as a nonneoplastic hamartoma (e.g., juvenile polyp), a hyperplastic mucosal proliferation (hyperplastic polyp), or an  | Several additional etiologic factors have been associated with gastric carcinoma. Gastric ulcers and adenomatous polyps have occasionally been linked, but data on a cause-and-effect relationship are unconvincing. The inadequate clinical distinction between benign gastric ulcers and small ulcerating  | Polypoid Adenomas About 25% of benign small-bowel tumors are polypoid adenomas (see Table 110-2). They may present as single polypoid lesions or, less commonly, as papillary villous adenomas. As in the colon, the sessile or papillary form of the tumor is sometimes associated with a coexisting carcin"
local,gpt-4o-mini,A 4-year-old girl is brought to the physician for a well-child examination. She has been healthy apart from an episode of bronchiolitis as an infant. Her 6-year-old sister recently underwent surgery for ventricular septal defect closure. She is at the 60th percentile for height and weight. Her mother is concerned about the possibility of the patient having a cardiovascular anomaly. Which of the following is most likely to indicate a benign heart murmur in this child?,A grade 2/6 continuous murmur heard at the right supraclavicular region,InternalMed_Harrison,"Additional clues to the etiology and importance of a heart murmur can be gleaned from the history and other physical examination findings. Symptoms suggestive of cardiovascular, neurologic, or pulmonary disease help focus the differential diagnosis, as do findings relevant to the jugular venous pres | PRESENCE OF CARDIAC MURMUR Systolic Murmur Diastolic or Continuous Murmur Grade I + II and midsystolic Grade III or >, holosystolic, or late systolic Other signs or symptoms of cardiac disease No further workup Normal ECG and chest X-ray Abnormal ECG or chest X-ray Asymptomatic and no associated fin | The differential diagnosis of a heart murmur begins with a careful assessment of its major attributes and response to bedside maneuvers. The history, clinical context, and associated physical examination findings provide additional clues by which the significance of a heart murmur can be established"
local,gpt-4o-mini,An 8-year-old female is given omalizumab for the treatment of bronchial asthma. Omalizumab treats asthma through which mechanism?,Inhibition of IgE binding to mast cells,InternalMed_Harrison,"Anti-IgE Omalizumab is a blocking antibody that neutralizes circulating IgE without binding to cell-bound IgE and, thus, inhibits IgE-mediated reactions. This treatment has been shown to reduce the number of exacerbations in patients with severe asthma and may improve asthma control. However, the tr | The treatment of asthma is straightforward, and the majority of patients are now managed by internists and family doctors with effective and safe therapies. There are several aims of therapy (Table 309-2). Most emphasis has been placed on drug therapy, but several nonpharmacologic approaches have al | Steroid-Sparing Therapies Various immunomodulatory treatments have been used to reduce the requirement for OCS in patients with severe asthma who have serious side effects with this therapy. Methotrexate, cyclosporin A, azathioprine, gold, and IV gamma globulin have all been used as steroid-sparing"
global,gpt-4o-mini,A group of scientists is verifying previous research on DNA replication. In the picture is the theoretical structure for tRNA. Where is the binding site for an amino acid?,A,Biochemistry_Lippincott,"A, P, and E sites: The ribosome has three binding sites for tRNA molecules: the A, P, and E sites, each of which extends over both subunits. Together, they cover three neighboring codons. During translation, the A site binds an incoming aminoacyl-tRNA as directed by the codon currently occupying thi | 1. Amino acid attachment site: Each tRNA molecule has an attachment site for a specific (cognate) amino acid at its 3′-end (Fig. 32.6). The carboxyl group of the amino acid is in an ester linkage with the 3′-hydroxyl of the ribose portion of the A nucleotide in the –CCA sequence at the 3′-end of the | Answer = C. Peptide-bond formation between the amino acid in the A site of the ribosome and the amino acid last added to the growing peptide in the P site is catalyzed by an RNA of the large ribosomal subunit. Any RNA with catalytic activity is referred to as a ribozyme (see figure on the next page)"
local,gpt-4o-mini,"A 52-year-old man with a history of type I diabetes mellitus presents to the emergency room with increasing fatigue. Two days ago, he ran out of insulin and has not had time to obtain a new prescription. He denies fevers or chills. His temperature is 37.2 degrees Celsius, blood pressure 84/56 mmHg, heart rate 100/min, respiratory rate 20/min, and SpO2 97% on room air. His physical exam is otherwise within normal limits. An arterial blood gas analysis shows the following: pH 7.25, PCO2 29, PO2 95, HCO3- 15. Which of the following acid-base disorders is present?",Metabolic acidosis with appropriate respiratory compensation,InternalMed_Harrison,"Mixed acid-base disorders—defined as independently coexisting disorders, not merely compensatory responses—are often seen in patients in critical care units and can lead to dangerous extremes of pH (Table 66-2). A patient with diabetic ketoacidosis (metabolic acidosis) may develop an independent res | A stepwise approach to the diagnosis of acid-base disorders follows (Table 66-3). Care should be taken when measuring blood gases to obtain the arterial blood sample without using excessive heparin. Blood for electrolytes and arterial blood gases should be drawn simultaneously prior to therapy, beca | The patient presented with a mixed acid-base disorder, with a significant metabolic alkalosis and a bicarbonate concentration of 44 meq/L. A venous blood gas was drawn soon after his presentation; venous and arterial blood gases demonstrate a high level of agreement in hemodynamically stable patient"
local,gpt-4o-mini,A 23-year-old male with a homozygous CCR5 mutation is found to be immune to HIV infection. The patient’s CCR5 mutation interferes with the function of which viral protein?,gp120,InternalMed_Harrison,"Genetic analysis revealed that the in vitro resistance to CCR5-using R5 strains of HIV is in some instances due to carriage of two defective CCR5 alleles. This defect is a 32-bp deletion in the coding sequence (designated as the Δ32 allele). The CCR5 Δ32 allele encodes a truncated protein that is no | The association of variations in the CCR5 gene with HIV-AIDS phenotypes is also an example of how discoveries made in the laboratory (bench) have been translated to improve health outcomes (bedside). The discovery that the CCR5 Δ32/Δ32 genotype is associated with strong resistance to HIV infection,  | associations witH ccr5 and translation of genetic findings to tHe clinic Possibly, the most dramatic example of the importance of genetic studies for identifying host factors that influence HIV-AIDS pathogenesis is from studies related to the gene that encodes for CC chemokine receptor 5 (CCR5). Whi"
local,gpt-4o-mini,"A 34-year-old man is brought to a psychiatric hospital by friends for erratic behavior. He has been up for the past several nights painting his apartment walls purple and reading the Bible out loud, as well as talking fast and making sexually provocative comments. Collateral information from family reveals 2 similar episodes last year. Mental status exam is notable for labile affect and grandiose delusions. Urine toxicology is negative. The patient is admitted and started on lithium for mania. His symptoms resolve within 2 weeks. How should this patient’s lithium be managed in anticipation of discharge?",Continue lithium lifelong,InternalMed_Harrison,"is 70–80% in acute mania, with beneficial effects appearing in 1–2 weeks. Lithium also has a prophylactic effect in prevention of recurrent mania and, to a lesser extent, in the prevention of recurrent depression. A simple cation, lithium is rapidly absorbed from the gastrointestinal tract and remai | In the treatment of acute mania, lithium is initiated at 300 mg bid or tid, and the dose is then increased by 300 mg every 2–3 days to achieve blood levels of 0.8–1.2 meq/L. Because the therapeutic effect of lithium may not appear until after 7–10 days of treatment, adjunctive usage of lorazepam (1– | The recurrent nature of bipolar mood disorder necessitates maintenance treatment. A sustained blood lithium level of at least 0.8 meq/L is important for optimal prophylaxis and has been shown to reduce the risk of suicide, a finding not yet apparent for other mood stabilizers. Combinations of mood s"
local,gpt-4o-mini,"A 47-year-old man presents for a routine physical examination as part of an insurance medical assessment. He has no complaints and has no family history of cardiac disease or sudden cardiac death. His blood pressure is 120/80 mm Hg, temperature is 36.7°C (98.1°F), and pulse is 75/min and is regular. On physical examination, he appears slim and his cardiac apex beat is of normal character and non-displaced. On auscultation, he has a midsystolic click followed by a late-systolic high-pitched murmur over the cardiac apex. On standing, the click and murmur occur earlier in systole, and the murmur is of increased intensity. While squatting, the click and murmur occur later in systole, and the murmur is softer in intensity. Echocardiography of this patient will most likely show which of the following findings?",Prolapse of a mitral valve leaflet of ≥2 mm above the level of the annulus in systole,InternalMed_Harrison,"FIGURE 267-6 Behavior of the click (C) and murmur (M) of mitral valve prolapse with in patients with atrial fibrillation. The aus changes in loading (volume, impedance) and contractility. S1, first heart sound; S2, sec cultatory findings in patients with rheumatic ond heart sound. With standing (lef | Additional clues to the etiology and importance of a heart murmur can be gleaned from the history and other physical examination findings. Symptoms suggestive of cardiovascular, neurologic, or pulmonary disease help focus the differential diagnosis, as do findings relevant to the jugular venous pres | A midsystolic murmur begins after S1 and ends before S2; it is typically crescendo-decrescendo in configuration. AS is the most common cause of a midsystolic murmur in an adult. It is often difficult to estimate the severity of the valve lesion on the basis of the physical examination findings, espe"
local,gpt-4o-mini,"A 61-year-old man comes to the physician because of a 3-month history of fatigue and progressively worsening shortness of breath that is worse when lying down. Recently, he started using two pillows to avoid waking up short of breath at night. Examination shows a heart murmur. A graph with the results of cardiac catheterization is shown. Given this patient's valvular condition, which of the following murmurs is most likely to be heard on cardiac auscultation?","High-pitched, holosystolic murmur that radiates to the axilla",InternalMed_Harrison,"DIASTOLIC HeART MuRMuRS early Diastolic Murmurs (Fig. 51e-1E) Chronic AR results in a high-pitched, blowing, decrescendo, early to mid-diastolic murmur that begins after the aortic component of S2 (A2) and is best heard at the second right interspace (Fig. 51e-6). The murmur may be soft and difficul | Cardiac murmur Systolic murmur Diastolic murmur Continuous murmur Mid-systolic, grade 2 or less • Early systolic • Mid-systolic, grade 3 or more • Late systolic • Holosystolic Asymptomatic and no associated findings Symptomatic or other signs of cardiac disease* TEE, cardiac MR, catheterization if a | PRESENCE OF CARDIAC MURMUR Systolic Murmur Diastolic or Continuous Murmur Grade I + II and midsystolic Grade III or >, holosystolic, or late systolic Other signs or symptoms of cardiac disease No further workup Normal ECG and chest X-ray Abnormal ECG or chest X-ray Asymptomatic and no associated fin"
global,gpt-4o-mini,"In translation, the wobble phenomenon is best illustrated by the fact that:",A tRNA with the UUU anticodon can bind to either AAA or AAG codons,Biochemistry_Lippincott,"The mechanism by which a tRNA can recognize more than one codon for a specific amino acid is described by the wobble hypothesis, which states that codon–anticodon pairing follows the traditional Watson-Crick rules (G pairs with C and A pairs with U) for the first two bases of the codon but can be le | The small ribosomal subunit binds mRNA and determines the accuracy of translation by insuring correct base-pairing between the mRNA codon and the tRNA anticodon. The large ribosomal subunit catalyzes formation of the peptide bonds that link amino acid residues in a protein. | Correct pairing of the codon in the mRNA with the anticodon of the tRNA is essential for accurate translation (see Fig. 32.6). Most tRNA (isoaccepting tRNA) recognize more than one codon for a given amino acid."
local,gpt-4o-mini,"A 52-year-old male patient with chronic alcoholism presents to an ambulatory medical clinic, where the hepatologist elects to perform comprehensive hepatitis B screening, in addition to several other screening and preventative measures. Given the following choices, which serologic marker, if positive, would indicate the patient’s immunity to the hepatitis B virus?",HBsAb,InternalMed_Harrison,"Another important serologic marker in patients with hepatitis B is HBeAg. Its principal clinical usefulness is as an indicator of relative infectivity. Because HBeAg is invariably present during early acute hepatitis B, HBeAg testing is indicated primarily in chronic infection. | A diagnostic algorithm can be applied in the evaluation of cases of acute viral hepatitis. A patient with acute hepatitis should undergo four serologic tests, HBsAg, IgM anti-HAV, IgM anti-HBc, and anti-HCV (Table 360-6). The presence of HBsAg, with or without IgM anti-HBc, represents HBV infection. | the absence of HBsAg when IgM anti-HBc is detectable. A diagnosis of acute hepatitis A is based on the presence of IgM anti-HAV. If IgM anti-HAV coexists with HBsAg, a diagnosis of simultaneous HAV and HBV infections can be made; if IgM anti-HBc (with or without HBsAg) is detectable, the patient has"
local,gpt-4o-mini,"A 16-year-old boy presents with a long-standing history of anemia. Past medical history is significant for prolonged neonatal jaundice and multiple episodes of jaundice without fever. On physical examination, the patient shows generalized pallor, scleral icterus, and splenomegaly. His hemoglobin is 10 g/dL, and examination of a peripheral blood smear shows red cell basophilic stippling. Which of the following is the most likely diagnosis in this patient?",Pyrimidine 5’-nucleotidase deficiency,InternalMed_Harrison,"Unstable hemoglobin variants should be suspected in patients with nonimmune hemolytic anemia, jaundice, splenomegaly, or premature biliary tract disease. Severe hemolysis usually presents during infancy as neonatal jaundice or anemia. Milder cases may present in adult life with anemia or only as une | Hemolytic disorders that cause excessive heme production may be either inherited or acquired. Inherited disorders include spherocytosis, sickle cell anemia, thalassemia, and deficiency of red cell enzymes such as pyruvate kinase and glucose-6-phosphate dehydrogenase. In these conditions, the serum b | other glycolytic enzyme abnormalities All of these defects are rare to very rare (Table 129-4), and all cause hemolytic anemia with varying degrees of severity. It is not unusual for the presentation to be in the guise of severe neonatal jaundice, which may require exchange transfusion; if the anemi"
local,gpt-4o-mini,"A 45-year-old male alcoholic presents with fever, productive cough, and foul-smelling sputum for the past two weeks. Vital signs are T 38.3 C, HR 106, BP 118/64 and RR 16. Oxygen saturation on room air is 90%. Given a diagnosis of aspiration pneumonia, initial chest radiograph findings would most likely include:",Right lung abscess due to the right main bronchus being wider and more vertically oriented,InternalMed_Harrison,"FIGuRE 201-1 Chest radiograph of right-lower-lobe lung abscess in a 60-year-old alcoholic patient. (From GL Mandell [ed]: Atlas of Infectious Diseases, Vol VI. Philadelphia, Current Medicine Inc, Churchill Livingstone, 1996; with permission.) of other anaerobic pulmonary infections. Patients may rep | Clinical manifestations may initially be similar to those of pneumonia, with fevers, cough, sputum production, and chest pain; a more chronic and indolent presentation that includes night sweats, fatigue, and anemia is often observed with anaerobic lung abscesses. A subset of patients with putrid lu | FIGURE 154-1 Representative chest CT scans demonstrating development of lung abscesses. This patient was immunocompromised due to underlying lymphoma and developed severe Pseudomonas aeruginosa pneumonia, as represented by a left lung infiltrate with concern for central regions of necrosis ( panel A"
local,gpt-4o-mini,"A 45-year-old man with a history of biliary colic presents with one-day of intractable nausea, vomiting, and abdominal pain radiating to the back. Temperature is 99.7 deg F (37.6 deg C), blood pressure is 102/78 mmHg, pulse is 112/min, and respirations are 22/min. On abdominal exam, he has involuntary guarding and tenderness to palpation in the right upper quadrant and epigastric regions. Laboratory studies show white blood cell count 18,200/uL, alkaline phosphatase 650 U/L, total bilirubin 2.5 mg/dL, amylase 500 U/L, and lipase 1160 U/L. Which of the patient's laboratory findings is associated with increased mortality?",White blood cell count,InternalMed_Harrison,"Biliary colic begins quite suddenly and may persist with severe intensity for 30 min to 5 h, subsiding gradually or rapidly. It is steady rather than intermittent, as would be suggested by the word colic, which must be regarded as a misnomer, although it is in widespread use. An episode of biliary p | Gastrointestinal manifestations such as nausea, vomiting, diarrhea, and ileus may suggest acute gastroenteritis. Stress ulceration can lead to upper gastrointestinal bleeding. Cholestatic jaundice, with elevated levels of serum bilirubin (mostly conjugated) and alkaline phosphatase, may precede othe | The diagnosis of acute cholecystitis is usually made on the basis of a characteristic history and physical examination. The triad of sudden onset of RUQ tenderness, fever, and leukocytosis is highly suggestive. Typically, leukocytosis in the range of 10,000–15,000 cells per microliter with a left sh"
local,gpt-4o-mini,A 31-year-old woman presents to her primary care provider to discuss the results from a previous urine analysis. She has no new complaints and feels well. Past medical history is significant for systemic lupus erythematosus. She was diagnosed 5 years ago and takes hydroxychloroquine every day and prednisone when her condition flares. Her previous urine analysis shows elevated protein levels (4+) and blood (3+). The urine sediment contained red blood cells (6 RBCs/high-power field). The treating physician would like to perform a renal biopsy to rule out lupus nephritis. What type of hypersensitivity is suggestive of lupus nephritis?,"Type III, mediated by IgG antibodies",InternalMed_Harrison,"The clinical manifestations, course of disease, and treatment of lupus nephritis are closely linked to renal pathology. The most common clinical sign of renal disease is proteinuria, but hematuria, hypertension, varying degrees of renal failure, and active urine sediment with red blood cell casts ca | Nephritis is usually the most serious manifestation of SLE, particularly because nephritis and infection are the leading causes of mortality in the first decade of disease. Because nephritis is asymptomatic in most lupus patients, urinalysis should be ordered in any person suspected of having SLE. T | The World Health Organization (WHO) workshop in 1974 first outlined several distinct patterns of lupus-related glomerular injury; these were modified in 1982. In 2004 the International Society of Nephrology in conjunction with the Renal Pathology Society again updated the classification. This latest"
local,gpt-4o-mini,"A 52-year-old woman presents to her primary care physician complaining of 3 weeks of persistent thirst despite consumption of increased quantities of water. She also admits that she has had increased frequency of urination during the same time period. A basic metabolic panel is performed which reveals mild hypernatremia and a normal glucose level. Urine electrolytes are then obtained which shows a very low urine osmolality that does not correct when a water deprivation test is performed. Blood tests reveal an undetectable level of antidiuretic hormone (ADH). Based on this information, what is the most likely cause of this patient's symptoms?",Central diabetes insipidus,InternalMed_Harrison,"Pathophysiology In pituitary, gestational, or nephrogenic DI, the polyuria results in a small (1–2%) decrease in body water and a commensurate increase in plasma osmolarity and sodium that stimulates thirst and a compensatory increase in water intake. As a result, hypernatremia and other overt physi | POLYURIA (>3 L/24 h) Urine osmolality < 250 mosmol History, low serum sodium Water deprivation test or ADH level Primary polydipsia Psychogenic Hypothalamic disease Drugs (thioridazine, chlorpromazine, anticholinergic agents) > 300 mosmol Diabetes insipidus (DI) | Pathophysiology Impaired osmotic suppression of antidiuresis results in excessive retention of water and dilution of body fluids only if water intake exceeds insensible and urinary losses. The excess intake is sometimes due to an associated defect in the osmoregulation of thirst (dipsogenic) but can"
local,gpt-4o-mini,"A 50-year-old female is evaluated by her physician for recent weight gain. Physical examination is notable for truncal obesity, wasting of her distal musculature and moon facies. In addition she complains of abnormal stretch marks that surround her abdomen. The physician suspects pituitary adenoma. Which of the following high-dose dexamethasone suppression test findings and baseline ACTH findings would support his view?","Cortisol suppression, high baseline ACTH",InternalMed_Harrison,"403. If cortisol production is autonomous (e.g., adrenal nodule), ACTH is already suppressed and dexamethasone has little additional effect. If cortisol production is driven by an ACTH-producing pituitary adenoma, dexamethasone suppression is ineffective at low doses but usually induces suppression  | These tests exploit the fact that most pituitary corticotrope adenomas 2317 still display regulatory features, including residual ACTH suppression by high-dose glucocorticoids and CRH responsiveness. In contrast, ectopic sources of ACTH are typically resistant to dexamethasone suppression and unresp | Diagnosis The diagnosis of ectopic ACTH syndrome is usually not difficult in the setting of a known malignancy. Urine free cortisol levels fluctuate but are typically greater than two to four times normal, and the plasma ACTH level is usually >22 pmol/L (>100 pg/mL). A suppressed ACTH level excludes"
